operating_cash_flow,investing_cash_flow,fixed_asset_expenditure,financing_cash_flow,cash_and_equivalents_beginning,fx_rate_effect_on_cash,cash_and_equivalents_changes,cash_and_equivalents_ending,ticker_code,year
7339928373,102668028014.0,-202902053604.0,24146952805.0,186934528343,,,15519355917,BOGA,2017
98702358157,22190360779.0,-272543784844.0,112768094045.0,98728760869,,,37655428227,BOLT,2017
17988888,12359310.0,4325112.0,-76480.0,4654168,,,26891688,BORN,2017
-392431135612,21091743820.0,-19866243820.0,429924869896.0,15464198241,0.0,0.0,33091688705,BPFI,2017
74272619078,430152000.0,-46855887282.0,-18261709696.0,40822869193,,,49977891293,BPII,2017
24057140,14197303.0,-14130323.0,-16351835.0,9708953,-2954.0,,3280981,BRAM,2017
3993431,,-2769661.0,-100000.0,3235674,,,4359444,BRIS,2017
-36422905,40271.0,39091046.0,-94650.0,2679915,-6026.0,,5247380,BRMS,2017
9047191,49278711.0,-8002311.0,-91932807.0,156284896,2155780.0,,67552749,BRNA,2017
337886,210573.0,-426119.0,662806.0,306400,,,880973,BRPT,2017
4647444612879,79649109107.0,-2998563771963.0,595529887165.0,3577705526195,-29087176953.0,,5793029077323,BSDE,2017
-807980,,-210980.0,33154.0,6778388,27677.0,,5820259,BSIM,2017
99429622,2048377.0,-13175683.0,-79848476.0,12135903,-5519.0,,18535847,BSSR,2017
-374577105946,,337781077931.0,155065595896.0,421139353050,-888051547.0,,538520869384,BSWD,2017
-160428734408,,-7348939142.0,108745166066.0,22021388852,56941531918.0,,19930413286,BTEK,2017
-1786,75.0,-75.0,,2211,,,350,BTEL,2017
6005724423,182050000.0,-3968875340.0,,111954774302,2077830292.0,,116069453677,BTON,2017
1125968,,-1375982.0,981941.0,14184787,703.0,,14917417,BTPN,2017
69285,119084.0,-120958.0,-65584.0,183546,141.0,,66430,BUDI,2017
168231496,130222684.0,-151302014.0,-58037267.0,297859154,34036.0,121445.0,256906850,BUKK,2017
19377719,50602974.0,-48370815.0,31489473.0,3353425,-35271.0,,5814531,BULL,2017
-118653542,1090528.0,-31577288.0,188844944.0,2809707,-6025.0,,41417796,BUMI,2017
-37982764711,17542576661.0,-308023493631.0,283861697281.0,90178747963,-28532108.0,,28005654794,BUVA,2017
1408519316,,-495577160.0,250000000.0,2487970191,,,3650912347,BVIC,2017
431512,184032.0,-181681.0,-294076.0,129367,-10.0,,85112,BWPT,2017
431942648,34824588.0,-35806555.0,-397141561.0,59767412,-93937.0,,58668007,BYAN,2017
29589753950,64525993303.0,225108822415.0,-100000000000.0,365414532767,,,520113109132,CAMP,2017
-554195,,755228.0,-251155.0,109706,-172.0,,59412,CANI,2017
-1333968722730,206471287702.0,-192977753708.0,1609795363043.0,209172426847,15099012.0,,292036412464,CARS,2017
2223415887897,,-2087175475259.0,6431824500.0,254565913464,,,397238150602,CASA,2017
362463326,87223813.0,-136069600.0,-201081391.0,110249305,629080.0,,136190720,CASS,2017
208851008007,8193586831.0,-56631729257.0,-160083626261.0,20679220743,,,12814873232,CEKA,2017
88011,263778.0,-512537.0,641575.0,150663,107.0,,367819,CENT,2017
-2760483534,41221532.0,22747246.0,2736401768.0,30322531,-440681.0,,28547330,CFIN,2017
33220121817,26279412943.0,-31614266175.0,10805511380.0,61342994796,,,73754361818,CINT,2017
-42191262195,8547648294.0,-7030003887.0,10120188924.0,66839628610,47750369.0,,27786301821,CITA,2017
-6317871442,0.0,1880734105.0,3985294232.0,614762511,,-53188110.0,109731296,CKRA,2017
78486685676,119038083458.0,-196801209129.0,120331571989.0,963523972,78613234.0,,3059185742,CLEO,2017
52537193055,5821918268.0,-5477372814.0,-49636035235.0,105912896436,81759713.0,,103418441155,CLPI,2017
799420847730,47122083289.0,-1345714449680.0,1681632862787.0,1689777458730,4027124713.0,,2829143844280,CMNP,2017
402679673863,64673185007.0,-151574384533.0,-241129853858.0,238447678194,,,248423113666,CMPP,2017
-284439201,179766.0,902621.0,354710582.0,54063321,,,125237323,CNKO,2017
-2600909,8487996.0,-8460899.0,10680007.0,999541,,,617740,CNTX,2017
-14481961921,11808963002.0,66456439179.0,-44306218562.0,21186936762,736728.0,,28855932186,COWL,2017
1624465,601679.0,-801010.0,-1586728.0,2504434,2604.0,,1743765,CPIN,2017
-145816,30778.0,258426.0,328179.0,101453,491.0,,542733,CPRO,2017
59811075,381890615.0,-472005847.0,430747322.0,71942498,,,90495048,CSAP,2017
-112650246824,11054771099.0,-16074232989.0,120136157428.0,13814250315,-247136.0,,5225680794,CSIS,2017
2914030,804651.0,4689672.0,-1478522.0,37139482,48113.0,,43312775,CTBN,2017
472142,281065.0,-1761064.0,1050468.0,3467585,-582.0,,3228549,CTRA,2017
-79173117840,724895514.0,-1228996579.0,77302546455.0,6663074661,12264542.0,0.0,3575771239,CTTH,2017
-102681989,16268208.0,-303979006.0,343783061.0,113603058,5773.0,,50730897,DART,2017
22424923,34459355.0,-33290779.0,25534726.0,55966120,4360.0,,70639350,DAYA,2017
-9415252123,93500000.0,9147640000.0,,2683708103,,,2416095980,DEFI,2017
-963029,7062722.0,-6517828.0,-4376476.0,21711366,818300.0,,10672333,DEWA,2017
-59024930923,1437798355.0,54367343099.0,41185942453.0,135384521017,426517449.0,1832321392.0,174171714487,DGIK,2017
-535638578919,53034934906.0,-47154108488.0,858905557752.0,473342736649,54371856.0,,749509978850,DILD,2017
-14002487064,329079360101.0,-374094660008.0,303433792601.0,104811014771,246135035.0,,20393795335,DKFT,2017
342202126,11917667.0,-11675086.0,-143868508.0,658665614,,,845324146,DLTA,2017
755193226091,33049886773.0,-140940263647.0,-1036259388650.0,1219104170177,-11718523758.0,,785379220213,DMAS,2017
140809583408,,-2183486479.0,,431299444753,,,569925541682,DNAR,2017
-121774273690,183813794113.0,-1045805474733.0,2142593122881.0,62985539467,,,1037998913925,DNET,2017
162259790,112924390.0,-62922338.0,-98687573.0,66935259,-82537.0,,67502601,DOID,2017
-3994084302,1075263362.0,-21792410117.0,-1834837235.0,115865761398,234377535.0,,88478807279,DPNS,2017
-157257528055,26423277649.0,-91117596726.0,308908991566.0,57447397484,-342730704.0,,117638533565,DPUM,2017
-29268493574,11799573367.0,217513428.0,40444495299.0,6412109441,216611914.0,,18022236508,DSFI,2017
1094970,203223.0,-708776.0,-261036.0,156654,,,281812,DSNG,2017
94160183,61288905.0,-112263717.0,122736632.0,153422178,2830.0,,258058106,DSSA,2017
487352295369,41600411029.0,-266810570315.0,-104444911173.0,1480367038928,1633862074.0,,1598097714883,DUTI,2017
230738193,38396543.0,-41309660.0,-111592530.0,372378578,667091.0,,450881672,DVLA,2017
-332668262,,106222434.0,262142437.0,34183017,,,69879626,DWGL,2017
37061895563,29033597148.0,85332939674.0,-114641496603.0,99649817797,,,107403156431,DYAN,2017
94274606925,9087345139.0,23271658048.0,-17329471841.0,417077987466,,,517294780598,ECII,2017
51605876745,25599419128.0,-27945652598.0,-6347595449.0,94849702667,61858310.0,,112224189675,EKAD,2017
395459,279356.0,-358506.0,119698.0,744387,1525.0,,902563,ELSA,2017
-340684111969,65234974925.0,234367696687.0,95964979524.0,78578982264,41456947.0,,68269003453,ELTY,2017
-190702680530,8385769836.0,-195266797457.0,415265266117.0,155448589979,,,184744378109,EMDE,2017
1052040672,281798225.0,1500699570.0,1659455783.0,2915431718,12601862.0,,7140229605,EMTK,2017
-5806166,,-13295786.0,-34637692.0,160605380,988522.0,,107854258,ENRG,2017
-203606805066,196372419557.0,-137437503897.0,-23467374581.0,1175527427556,477382567.0,,811493126579,EPMT,2017
-765037485224,118510696921.0,-272076272008.0,522021053750.0,11335407827,2643453948.0,,-501113841707,ERAA,2017
-7165215,773580.0,-773580.0,6085604.0,3498245,,,1645054,ERTX,2017
-777927,41319937.0,-154619824.0,104344700.0,90868317,,,39815266,ESSA,2017
278432,12554026.0,-12968178.0,12373782.0,1101023,,,785059,ESTI,2017
-9837000718,5000000.0,-1349738804.0,10997511563.0,810373599,-4712868.0,,616432772,ETWA,2017
9612170,6697095.0,-6634886.0,-1926108.0,1399910,4257.0,0.0,2455343,EXCL,2017
320003322,101976339.0,-242471729.0,-73877127.0,791578534,275654.0,,795508654,FAST,2017
1113426743731,327919681313.0,-340848567403.0,-708460433926.0,223740032319,,,287857774721,FASW,2017
-236615760136,2623076952.0,-4651327043.0,244147129248.0,8702697506,0.0,0.0,11582739575,FINN,2017
-64804521909,13344854190.0,-13326194190.0,95198139416.0,1951646543,0.0,0.0,19019069860,FIRE,2017
24419601,9975882.0,-11200874.0,-11207784.0,36869628,-92393.0,,38788178,FISH,2017
12182,,-51770.0,39217.0,3155,,,2784,FMII,2017
17810699373,213750455.0,5155029545.0,-16446184345.0,35472588264,,,41992132837,FORU,2017
1238,1935.0,-1934.0,-433.0,4221,,,3092,FPNI,2017
-969398292540,881746251063.0,-2963947838770.0,4164468216270.0,210329061806,50003176.0,,441501149942,FREN,2017
-80194620091,38289500.0,2484276312.0,64240123876.0,57031612270,,,43561392367,GAMA,2017
31357855008,61129162543.0,-61096081530.0,-5405405251.0,194256146977,348683466.0,,159461198670,GDST,2017
16476806,8849909.0,-8761738.0,-1251116.0,12505721,-16448.0,,18953225,GDYR,2017
-37601380213,34670871238.0,-37320696339.0,67488737720.0,13660523870,14986538.0,,6242171576,GEMA,2017
157716655,9522190.0,-23424374.0,-16636214.0,57769414,-380423.0,,175045058,GEMS,2017
8204579,3395744.0,-3239589.0,-3480186.0,841875,2500.0,,2329179,GGRM,2017
-61665293,29256957.0,-376232673.0,161633596.0,578702739,4480576.0,,306918945,GIAA,2017
738861,398178.0,-149282.0,-625139.0,755545,-23500.0,,696485,GJTL,2017
2814672049,2386284906.0,-2059274135.0,,1832847697,,,2588245611,GLOB,2017
16786663,39150150.0,-38282580.0,45942102.0,60441867,-1276726.0,,83611326,GMFI,2017
1877319620,77904219.0,-77904219.0,-2541799080.0,13256598897,,,12514215218,GMTD,2017
-5481048895,28131650.0,-37407168480.0,31321111345.0,17249674947,,0.0,5682568917,GOLD,2017
59820553498,2852019063.0,-57640682920.0,-4019971197.0,2841333793,1720120.0,,1002953294,GOLL,2017
9839392831,2442605054.0,656683614.0,-72925209098.0,116582193078,,,54153060425,GPRA,2017
11053526,20604692.0,-43711016.0,-2084131.0,214977083,-107827.0,,180127635,GSMF,2017
-146717219807,2025772701.0,112653805976.0,69264317908.0,139869349253,100344720.0,,175170598050,GWSA,2017
23705,124638.0,29328.0,-24940.0,46954,,,75047,GZCO,2017
10376334324,4750000.0,-10199501831.0,-287391360.0,688049616,,,577490749,HADE,2017
-190021970,14300799.0,-12453264.0,211903796.0,100683666,0.0,0.0,110112228,HDFA,2017
